"CNES","VINC_SUS","TPGESTAO","QTLEITP1","QTLEITP2","CODUFMUN","DT_ATUAL","COMPETEN","CNES_integer","FANTASIA","munResStatus","munResTipo","munResNome","munResUf","munResLat","munResLon","munResAlt","munResArea","CODESTAB","ano","mes","mes.nasc","Ano.nasc","dia","datacompleta"
"2237156","Não","Municipal",54,28,"431490","201706","201801","2237156","HBMPA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237156","2018","01","01","2018","31",2018-01-31
"2237253","Sim","Municipal",353,292,"431490","201801","201801","2237253","IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237253","2018","01","01","2018","31",2018-01-31
"2237261","Sim","Municipal",51,68,"431490","201711","201801","2237261","HOSPITAL BENEFICENCIA PORTUGUESA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237261","2018","01","01","2018","31",2018-01-31
"2237571","Sim","Municipal",340,528,"431490","201802","201801","2237571","HOSPITAL NOSSA SENHORA DA CONCEICAO SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237571","2018","01","01","2018","31",2018-01-31
"2237598","Sim","Municipal",67,35,"431490","201801","201801","2237598","HOSPITAL DIVINA PROVIDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237598","2018","01","01","2018","31",2018-01-31
"2237601","Sim","Municipal",182,365,"431490","201801","201801","2237601","HOSPITAL DE CLINICAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237601","2018","01","01","2018","31",2018-01-31
"2237822","Sim","Municipal",8,1,"431490","201802","201801","2237822","HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237822","2018","01","01","2018","31",2018-01-31
"2237849","Sim","Municipal",159,105,"431490","201712","201801","2237849","INSTITUTO DE CARDIOLOGIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237849","2018","01","01","2018","31",2018-01-31
"2237881","Sim","Municipal",16,4,"431490","201801","201801","2237881","HOSPITAL BANCO DE OLHOS DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237881","2018","01","01","2018","31",2018-01-31
"2262568","Sim","Municipal",175,175,"431490","201801","201801","2262568","HOSPITAL SAO LUCAS DA PUCRS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2262568","2018","01","01","2018","31",2018-01-31
